TermTested,TermRostered,DistrictName,SchoolName,Teacher,ClassName,Subject,Course,ASGType,GrowthComparisonPeriod,NormsReferenceData,WIStartTerm,WIEndTerm,StudentID,StudentLastName,StudentFirstName,StudentGrade,TestDate,StartRIT,StartRITSEM,StartPercentile,StartTestDuration,EndTestDate,EndRIT,EndRITSEM,EndPercentile,EndTestDuration,ProjectedRIT,ProjectedGrowth,ObservedGrowth,ObservedGrowthSE,GrowthIndex,MetGrowthProjection?,ConditionalGrowthIndex,ConditionalGrowthPercentile,CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,CountofStudentswhoMetorExceededtheirProjectedGrowth,PercentageofStudentswhoMetorExceededtheirProjectedRIT,PercentageofProjectedGrowthMet,MedianConditionalGrowthPercentile,StartGrowthandAchievement,EndGrowthandAchievement,ConditionalGrowthPercentileAxis,AchievementPercentileAxis
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250008,Müller,Lukas,5,2025-09-09,222,3.2,86,42,2026-05-05,226,3.1,86,47,225,3,4,4.5,1,Yes,0.11,54,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,54,86
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250010,Nair,Arjun,5,2025-09-09,179,3.2,7,54,2026-05-05,193,3.1,19,52,187,8,14,4.5,6,Yes,0.67,75,23,12,52,136,54,High Growth / Low Achievement,High Growth / Low Achievement,75,19
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250011,Nakamura,Yuna,5,2025-09-09,205,3.0,52,42,2026-05-05,221,3.2,78,39,210,5,16,4.4,11,Yes,1.22,89,23,12,52,136,54,High Growth / Average Achievement,High Growth / High Achievement,89,78
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250009,Nasser,Layla,5,2025-09-09,240,3.3,98,36,2026-05-05,240,3.3,97,35,241,1,0,4.7,-1,No,-0.11,46,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,46,97
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250007,Nkosi,Zanele,5,2025-09-09,221,3.1,84,43,2026-05-05,226,3.1,86,43,224,3,5,4.4,2,Yes,0.22,59,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,59,86
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250022,O'Donnell,Eoin,5,2025-09-09,209,2.8,62,48,2026-05-05,216,3.1,68,46,213,4,7,4.2,3,Yes,0.33,63,23,12,52,136,54,High Growth / High Achievement,High Growth / High Achievement,63,68
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250017,Park,Min-jun,5,2025-09-09,214,3.1,72,45,2026-05-05,216,3.1,68,37,218,4,2,4.4,-2,No,-0.22,41,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,41,68
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250015,Qureshi,Hamza,5,2025-09-09,241,3.3,99,57,2026-05-05,238,3.1,96,49,242,1,-3,4.5,-4,No,-0.44,33,23,12,52,136,54,Low Growth / High Achievement,Low Growth / High Achievement,33,96
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250018,Rojas,Valentina,5,2025-09-09,201,3.2,43,59,2026-05-05,214,3.0,64,53,206,5,13,4.4,8,Yes,0.89,81,23,12,52,136,54,High Growth / Average Achievement,High Growth / High Achievement,81,64
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250005,Rossi,Elena,5,2025-09-09,213,3.1,70,47,2026-05-05,216,3.1,68,38,217,4,3,4.4,-1,No,-0.11,46,23,12,52,136,54,Average Growth / High Achievement,Average Growth / High Achievement,46,68
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250016,Schmidt,Freya,5,2025-09-09,234,3.4,96,51,2026-05-05,228,3.2,88,44,235,1,-6,4.7,-7,No,-0.78,22,23,12,52,136,54,Low Growth / High Achievement,Low Growth / High Achievement,22,88
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250004,Tanaka,Haruto,5,2025-09-09,231,3.3,94,47,2026-05-05,226,3.2,86,46,233,2,-5,4.6,-7,No,-0.78,22,23,12,52,136,54,Low Growth / High Achievement,Low Growth / High Achievement,22,86
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Reading,Reading,Class,Fall 2025 - Spring 2026,2025,3,32,D250012,Yılmaz,Aylin,5,2025-09-09,243,3.2,99,49,2026-05-05,238,3.4,96,52,244,1,-5,4.7,-6,No,-0.67,25,23,12,52,136,54,Low Growth / High Achievement,Low Growth / High Achievement,25,96
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250020,Andersson,Nils,5,2025-09-11,216,3.1,81,61,2026-05-07,208,3.2,52,51,219,3,-8,4.5,-11,No,-1.37,9,23,13,57,141,55,Low Growth / High Achievement,Low Growth / Average Achievement,9,52
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250021,Aziz,Mariam,5,2025-09-11,230,3.2,96,44,2026-05-07,233,3.2,95,47,232,2,3,4.5,1,Yes,0.13,55,23,13,57,141,55,Average Growth / High Achievement,Average Growth / High Achievement,55,95
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250013,Boateng,Kwame,5,2025-09-11,182,3.2,11,34,2026-05-07,203,2.9,40,35,189,7,21,4.3,14,Yes,1.75,96,23,13,57,141,55,High Growth / Low Achievement,High Growth / Low Achievement,96,40
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250023,Chatterjee,Kavya,5,2025-09-11,180,3.1,8,38,2026-05-07,205,3.2,45,32,188,8,25,4.5,17,Yes,2.13,98,23,13,57,141,55,High Growth / Low Achievement,High Growth / Average Achievement,98,45
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250014,Dubois,Chloé,5,2025-09-11,204,2.9,55,41,2026-05-07,210,3.1,57,38,209,5,6,4.2,1,Yes,0.13,55,23,13,57,141,55,Average Growth / Average Achievement,Average Growth / Average Achievement,55,57
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250006,Herrera,Santiago,5,2025-09-11,195,3.1,33,40,2026-05-07,199,3.0,31,37,201,6,4,4.3,-2,No,-0.25,40,23,13,57,141,55,Low Growth / Low Achievement,Low Growth / Low Achievement,40,31
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250003,Iyer,Priya,5,2025-09-11,196,3.0,35,46,2026-05-07,204,2.9,43,35,202,6,8,4.2,2,Yes,0.25,60,23,13,57,141,55,Average Growth / Low Achievement,Average Growth / Average Achievement,60,43
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250002,Khoury,Omar,5,2025-09-11,213,3.1,75,43,2026-05-07,214,3.0,67,38,217,4,1,4.3,-3,No,-0.37,36,23,13,57,141,55,Low Growth / High Achievement,Low Growth / High Achievement,36,67
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250001,Mensah,Amara,5,2025-09-11,222,3.4,89,46,2026-05-07,232,3.2,94,51,225,3,10,4.7,7,Yes,0.88,81,23,13,57,141,55,High Growth / High Achievement,High Growth / High Achievement,81,94
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250019,Moyo,Tendai,5,2025-09-11,218,3.0,84,59,2026-05-07,219,3.3,77,58,221,3,1,4.5,-2,No,-0.25,40,23,13,57,141,55,Low Growth / High Achievement,Low Growth / High Achievement,40,77
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250008,Müller,Lukas,5,2025-09-11,213,3.1,75,40,2026-05-07,228,3.1,91,38,217,4,15,4.4,11,Yes,1.38,92,23,13,57,141,55,High Growth / High Achievement,High Growth / High Achievement,92,91
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250010,Nair,Arjun,5,2025-09-11,159,3.4,1,48,2026-05-07,173,3.2,2,49,169,10,14,4.7,4,Yes,0.50,69,23,13,57,141,55,High Growth / Low Achievement,High Growth / Low Achievement,69,2
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250011,Nakamura,Yuna,5,2025-09-11,182,3.2,11,35,2026-05-07,183,3.0,7,36,189,7,1,4.4,-6,No,-0.75,23,23,13,57,141,55,Low Growth / Low Achievement,Low Growth / Low Achievement,23,7
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250009,Nasser,Layla,5,2025-09-11,223,3.1,91,33,2026-05-07,230,3.3,92,31,225,2,7,4.5,5,Yes,0.63,74,23,13,57,141,55,High Growth / High Achievement,High Growth / High Achievement,74,92
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250007,Nkosi,Zanele,5,2025-09-11,222,3.2,89,42,2026-05-07,231,3.2,93,37,225,3,9,4.5,6,Yes,0.75,77,23,13,57,141,55,High Growth / High Achievement,High Growth / High Achievement,77,93
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250022,O'Donnell,Eoin,5,2025-09-11,191,2.9,25,48,2026-05-07,193,3.0,19,39,197,6,2,4.2,-4,No,-0.50,31,23,13,57,141,55,Low Growth / Low Achievement,Low Growth / Low Achievement,31,19
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250017,Park,Min-jun,5,2025-09-11,226,3.2,93,37,2026-05-07,233,3.2,95,36,228,2,7,4.5,5,Yes,0.63,74,23,13,57,141,55,High Growth / High Achievement,High Growth / High Achievement,74,95
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250015,Qureshi,Hamza,5,2025-09-11,217,3.2,83,48,2026-05-07,215,3.0,69,40,220,3,-2,4.4,-5,No,-0.62,27,23,13,57,141,55,Low Growth / High Achievement,Low Growth / High Achievement,27,69
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250018,Rojas,Valentina,5,2025-09-11,185,3.0,14,55,2026-05-07,195,3.0,23,50,192,7,10,4.2,3,Yes,0.38,65,23,13,57,141,55,High Growth / Low Achievement,High Growth / Low Achievement,65,23
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250005,Rossi,Elena,5,2025-09-11,210,3.2,69,40,2026-05-07,209,2.9,55,40,214,4,-1,4.3,-5,No,-0.62,27,23,13,57,141,55,Low Growth / High Achievement,Low Growth / Average Achievement,27,55
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250016,Schmidt,Freya,5,2025-09-11,219,3.1,86,46,2026-05-07,214,3.1,67,19,222,3,-5,4.4,-8,No*,-1.00,16,23,13,57,141,55,Low Growth / High Achievement,Low Growth / High Achievement,16,67
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250004,Tanaka,Haruto,5,2025-09-11,206,3.1,60,44,2026-05-07,229,3.1,92,40,211,5,23,4.4,18,Yes,2.25,99,23,13,57,141,55,High Growth / Average Achievement,High Growth / High Achievement,99,92
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Language Arts,Language Usage,Class,Fall 2025 - Spring 2026,2025,3,32,D250012,Yılmaz,Aylin,5,2025-09-11,243,3.3,99,50,2026-05-07,239,3.0,98,44,244,1,-4,4.5,-5,No,-0.62,27,23,13,57,141,55,Low Growth / High Achievement,Low Growth / High Achievement,27,98
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250020,Andersson,Nils,5,2025-09-16,234,3.3,96,63,2026-05-12,245,3.1,95,63,244,10,11,4.5,1,Yes,0.13,55,23,13,57,109,55,Average Growth / High Achievement,Average Growth / High Achievement,55,95
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250021,Aziz,Mariam,5,2025-09-16,217,3.1,75,63,2026-05-12,214,3.1,46,55,227,10,-3,4.4,-13,No,-1.62,5,23,13,57,109,55,Low Growth / High Achievement,Low Growth / Average Achievement,5,46
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250013,Boateng,Kwame,5,2025-09-16,192,3.0,19,46,2026-05-12,201,3.0,20,46,202,10,9,4.2,-1,No,-0.12,45,23,13,57,109,55,Average Growth / Low Achievement,Average Growth / Low Achievement,45,20
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250023,Chatterjee,Kavya,5,2025-09-16,191,3.1,17,43,2026-05-12,205,3.0,27,49,201,10,14,4.3,4,Yes,0.50,69,23,13,57,109,55,High Growth / Low Achievement,High Growth / Low Achievement,69,27
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250014,Dubois,Chloé,5,2025-09-16,208,3.2,55,49,2026-05-12,202,3.2,22,41,218,10,-6,4.5,-16,No,-2.00,2,23,13,57,109,55,Low Growth / Average Achievement,Low Growth / Low Achievement,2,22
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250006,Herrera,Santiago,5,2025-09-16,214,2.9,69,46,2026-05-12,232,3.0,81,51,224,10,18,4.2,8,Yes,1.00,84,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,84,81
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250003,Iyer,Priya,5,2025-09-16,206,3.1,50,52,2026-05-12,239,3.0,90,54,216,10,33,4.3,23,Yes,2.88,99,23,13,57,109,55,High Growth / Average Achievement,High Growth / High Achievement,99,90
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250002,Khoury,Omar,5,2025-09-16,213,3.0,67,46,2026-05-12,231,3.2,80,52,223,10,18,4.4,8,Yes,1.00,84,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,84,80
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250001,Mensah,Amara,5,2025-09-16,239,3.4,98,67,2026-05-12,254,3.2,98,64,249,10,15,4.7,5,Yes,0.63,74,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,74,98
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250019,Moyo,Tendai,5,2025-09-16,223,3.1,86,71,2026-05-12,237,3.2,88,71,233,10,14,4.5,4,Yes,0.50,69,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,69,88
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250008,Müller,Lukas,5,2025-09-16,227,3.2,91,52,2026-05-12,233,3.1,83,48,237,10,6,4.5,-4,No,-0.50,31,23,13,57,109,55,Low Growth / High Achievement,Low Growth / High Achievement,31,83
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250010,Nair,Arjun,5,2025-09-16,200,3.0,35,59,2026-05-12,206,3.0,29,58,210,10,6,4.2,-4,No,-0.50,31,23,13,57,109,55,Low Growth / Low Achievement,Low Growth / Low Achievement,31,29
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250011,Nakamura,Yuna,5,2025-09-16,196,3.0,27,50,2026-05-12,210,3.0,37,41,206,10,14,4.2,4,Yes,0.50,69,23,13,57,109,55,High Growth / Low Achievement,High Growth / Low Achievement,69,37
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250009,Nasser,Layla,5,2025-09-16,221,3.0,83,39,2026-05-12,233,3.0,83,40,231,10,12,4.2,2,Yes,0.25,60,23,13,57,109,55,Average Growth / High Achievement,Average Growth / High Achievement,60,83
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250007,Nkosi,Zanele,5,2025-09-16,221,3.1,83,44,2026-05-12,235,3.0,85,43,231,10,14,4.3,4,Yes,0.50,69,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,69,85
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250022,O'Donnell,Eoin,5,2025-09-16,205,3.0,48,54,2026-05-12,216,3.0,50,51,215,10,11,4.2,1,Yes,0.13,55,23,13,57,109,55,Average Growth / Average Achievement,Average Growth / Average Achievement,55,50
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250017,Park,Min-jun,5,2025-09-16,199,3.2,33,47,2026-05-12,200,3.0,19,46,209,10,1,4.4,-9,No,-1.12,13,23,13,57,109,55,Low Growth / Low Achievement,Low Growth / Low Achievement,13,19
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250015,Qureshi,Hamza,5,2025-09-16,216,3.0,73,61,2026-05-12,230,3.1,78,51,226,10,14,4.3,4,Yes,0.50,69,23,13,57,109,55,High Growth / High Achievement,High Growth / High Achievement,69,78
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250018,Rojas,Valentina,5,2025-09-16,200,3.0,35,66,2026-05-12,223,3.1,65,66,210,10,23,4.3,13,Yes,1.63,95,23,13,57,109,55,High Growth / Low Achievement,High Growth / High Achievement,95,65
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250005,Rossi,Elena,5,2025-09-16,211,3.0,62,49,2026-05-12,217,3.0,52,45,221,10,6,4.2,-4,No,-0.50,31,23,13,57,109,55,Low Growth / High Achievement,Low Growth / Average Achievement,31,52
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250016,Schmidt,Freya,5,2025-09-16,215,3.2,71,59,2026-05-12,222,3.1,63,62,225,10,7,4.5,-3,No,-0.37,36,23,13,57,109,55,Low Growth / High Achievement,Low Growth / High Achievement,36,63
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250004,Tanaka,Haruto,5,2025-09-16,235,3.3,97,49,2026-05-12,243,3.1,93,50,245,10,8,4.5,-2,No,-0.25,40,23,13,57,109,55,Low Growth / High Achievement,Low Growth / High Achievement,40,93
Spring 2025-2026,Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,Mathematics,Math K-12,Class,Fall 2025 - Spring 2026,2025,3,32,D250012,Yılmaz,Aylin,5,2025-09-16,243,3.2,99,56,2026-05-12,248,3.1,96,52,253,10,5,4.5,-5,No,-0.62,27,23,13,57,109,55,Low Growth / High Achievement,Low Growth / High Achievement,27,96
