Term Tested,District Name,School Name,Instructor Name,Class Name,Student ID,Student Last Name,Student First Name,Student Grade,Subject,Course,Test Name,Date Tested,Duration,Test RIT Score,Standard Error,Test Percentile,Percent Rapid Guessed,Lexile,Quantile,Instructional Area 1 Name,Instructional Area 1 RIT,Instructional Area 1 StdErr,Instructional Area 2 Name,Instructional Area 2 RIT,Instructional Area 2 StdErr,Instructional Area 3 Name,Instructional Area 3 RIT,Instructional Area 3 StdErr,Instructional Area 4 Name,Instructional Area 4 RIT,Instructional Area 4 StdErr,Instructional Area 5 Name,Instructional Area 5 RIT,Instructional Area 5 StdErr
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250009,Nasser,Layla,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,35,240,3.3,97,6,1260L,,Literary Text: Key Ideas and Details,241,7.4,"Literary Text: Language, Craft, and Structure",236,7.7,Informational Text: Key Ideas and Details,246,7.5,"Informational Text: Language, Craft, and Structure",243,7.8,Vocabulary: Acquisition and Use,233,7.7
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250007,Nkosi,Zanele,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,43,226,3.1,86,0,1030L,,Literary Text: Key Ideas and Details,228,7.3,"Literary Text: Language, Craft, and Structure",218,7.7,Informational Text: Key Ideas and Details,222,7.6,"Informational Text: Language, Craft, and Structure",234,7.5,Vocabulary: Acquisition and Use,224,7.4
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250022,O'Donnell,Eoin,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,46,216,3.1,68,8,865L,,Literary Text: Key Ideas and Details,213,7.6,"Literary Text: Language, Craft, and Structure",216,7.1,Informational Text: Key Ideas and Details,228,7.3,"Informational Text: Language, Craft, and Structure",223,7.5,Vocabulary: Acquisition and Use,201,7.5
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250017,Park,Min-jun,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,37,216,3.1,68,3,865L,,Literary Text: Key Ideas and Details,221,7.3,"Literary Text: Language, Craft, and Structure",232,7.5,Informational Text: Key Ideas and Details,209,7.3,"Informational Text: Language, Craft, and Structure",197,7.2,Vocabulary: Acquisition and Use,218,7.4
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250015,Qureshi,Hamza,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,49,238,3.1,96,6,1225L,,Literary Text: Key Ideas and Details,255,7.1,"Literary Text: Language, Craft, and Structure",230,7.5,Informational Text: Key Ideas and Details,229,7.1,"Informational Text: Language, Craft, and Structure",242,7.6,Vocabulary: Acquisition and Use,235,7.7
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250018,Rojas,Valentina,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,53,214,3.0,64,6,830L,,Literary Text: Key Ideas and Details,212,7.2,"Literary Text: Language, Craft, and Structure",208,7.2,Informational Text: Key Ideas and Details,220,7.7,"Informational Text: Language, Craft, and Structure",217,7.6,Vocabulary: Acquisition and Use,215,7.2
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250005,Rossi,Elena,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,38,216,3.1,68,0,865L,,Literary Text: Key Ideas and Details,217,7.4,"Literary Text: Language, Craft, and Structure",210,7.7,Informational Text: Key Ideas and Details,217,7.5,"Informational Text: Language, Craft, and Structure",214,7.3,Vocabulary: Acquisition and Use,223,7.7
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250016,Schmidt,Freya,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,44,228,3.2,88,0,1060L,,Literary Text: Key Ideas and Details,229,7.1,"Literary Text: Language, Craft, and Structure",229,7.3,Informational Text: Key Ideas and Details,234,7.3,"Informational Text: Language, Craft, and Structure",229,7.2,Vocabulary: Acquisition and Use,222,7.3
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250004,Tanaka,Haruto,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,46,226,3.2,86,3,1030L,,Literary Text: Key Ideas and Details,209,7.2,"Literary Text: Language, Craft, and Structure",224,7.4,Informational Text: Key Ideas and Details,227,7.3,"Informational Text: Language, Craft, and Structure",238,7.8,Vocabulary: Acquisition and Use,231,7.1
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250012,Yılmaz,Aylin,5,Reading,Reading,Growth: Reading 2-5 CCSS 2010 V4,5/5/2026,52,238,3.4,96,8,1225L,,Literary Text: Key Ideas and Details,241,7.7,"Literary Text: Language, Craft, and Structure",237,7.1,Informational Text: Key Ideas and Details,237,7.2,"Informational Text: Language, Craft, and Structure",237,7.4,Vocabulary: Acquisition and Use,237,7.4
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250020,Andersson,Nils,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,51,208,3.2,52,0,,,"Writing: Write, Revise Texts for Purpose and Audience",214,6.6,"Language: Understand, Edit for Grammar, Usage",204,6.4,"Language: Understand, Edit for Mechanics",205,6.4,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250021,Aziz,Mariam,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,47,233,3.2,95,1,,,"Writing: Write, Revise Texts for Purpose and Audience",242,6.4,"Language: Understand, Edit for Grammar, Usage",239,6.5,"Language: Understand, Edit for Mechanics",217,6.1,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250013,Boateng,Kwame,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,35,203,2.9,40,0,,,"Writing: Write, Revise Texts for Purpose and Audience",195,6.1,"Language: Understand, Edit for Grammar, Usage",203,6.5,"Language: Understand, Edit for Mechanics",212,6.2,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250023,Chatterjee,Kavya,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,32,205,3.2,45,0,,,"Writing: Write, Revise Texts for Purpose and Audience",202,6.2,"Language: Understand, Edit for Grammar, Usage",209,6.3,"Language: Understand, Edit for Mechanics",203,6.2,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250014,Dubois,Chloé,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,38,210,3.1,57,6,,,"Writing: Write, Revise Texts for Purpose and Audience",202,6.1,"Language: Understand, Edit for Grammar, Usage",215,6.4,"Language: Understand, Edit for Mechanics",212,5.9,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250006,Herrera,Santiago,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,37,199,3.0,31,0,,,"Writing: Write, Revise Texts for Purpose and Audience",203,5.9,"Language: Understand, Edit for Grammar, Usage",190,6.3,"Language: Understand, Edit for Mechanics",205,6.0,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250003,Iyer,Priya,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,35,204,2.9,43,0,,,"Writing: Write, Revise Texts for Purpose and Audience",203,6.0,"Language: Understand, Edit for Grammar, Usage",208,6.0,"Language: Understand, Edit for Mechanics",202,6.0,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250002,Khoury,Omar,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,38,214,3.0,67,2,,,"Writing: Write, Revise Texts for Purpose and Audience",213,5.9,"Language: Understand, Edit for Grammar, Usage",217,6.1,"Language: Understand, Edit for Mechanics",211,6.5,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250001,Mensah,Amara,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,51,232,3.2,94,0,,,"Writing: Write, Revise Texts for Purpose and Audience",223,6.2,"Language: Understand, Edit for Grammar, Usage",245,6.5,"Language: Understand, Edit for Mechanics",227,5.9,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250019,Moyo,Tendai,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,58,219,3.3,77,0,,,"Writing: Write, Revise Texts for Purpose and Audience",220,6.5,"Language: Understand, Edit for Grammar, Usage",214,5.9,"Language: Understand, Edit for Mechanics",221,6.2,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250008,Müller,Lukas,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,38,228,3.1,91,0,,,"Writing: Write, Revise Texts for Purpose and Audience",225,6.6,"Language: Understand, Edit for Grammar, Usage",232,6.2,"Language: Understand, Edit for Mechanics",227,6.5,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250010,Nair,Arjun,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,49,173,3.2,2,0,,,"Writing: Write, Revise Texts for Purpose and Audience",173,6.5,"Language: Understand, Edit for Grammar, Usage",168,5.9,"Language: Understand, Edit for Mechanics",178,6.6,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250011,Nakamura,Yuna,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,36,183,3.0,7,0,,,"Writing: Write, Revise Texts for Purpose and Audience",182,6.1,"Language: Understand, Edit for Grammar, Usage",186,6.1,"Language: Understand, Edit for Mechanics",183,6.1,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250009,Nasser,Layla,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,31,230,3.3,92,0,,,"Writing: Write, Revise Texts for Purpose and Audience",227,6.4,"Language: Understand, Edit for Grammar, Usage",230,6.5,"Language: Understand, Edit for Mechanics",232,6.1,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250007,Nkosi,Zanele,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,37,231,3.2,93,0,,,"Writing: Write, Revise Texts for Purpose and Audience",224,6.0,"Language: Understand, Edit for Grammar, Usage",248,6.1,"Language: Understand, Edit for Mechanics",221,6.2,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250022,O'Donnell,Eoin,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,39,193,3.0,19,0,,,"Writing: Write, Revise Texts for Purpose and Audience",188,6.4,"Language: Understand, Edit for Grammar, Usage",204,5.8,"Language: Understand, Edit for Mechanics",189,6.1,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250017,Park,Min-jun,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,36,233,3.2,95,0,,,"Writing: Write, Revise Texts for Purpose and Audience",232,6.0,"Language: Understand, Edit for Grammar, Usage",231,6.4,"Language: Understand, Edit for Mechanics",236,5.9,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250015,Qureshi,Hamza,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,40,215,3.0,69,6,,,"Writing: Write, Revise Texts for Purpose and Audience",219,6.1,"Language: Understand, Edit for Grammar, Usage",216,6.6,"Language: Understand, Edit for Mechanics",209,6.0,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250018,Rojas,Valentina,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,50,195,3.0,23,0,,,"Writing: Write, Revise Texts for Purpose and Audience",191,6.2,"Language: Understand, Edit for Grammar, Usage",200,6.5,"Language: Understand, Edit for Mechanics",194,6.6,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250005,Rossi,Elena,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,40,209,2.9,55,0,,,"Writing: Write, Revise Texts for Purpose and Audience",200,6.2,"Language: Understand, Edit for Grammar, Usage",212,6.1,"Language: Understand, Edit for Mechanics",216,6.3,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250016,Schmidt,Freya,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,19,214,3.1,67,6,,,"Writing: Write, Revise Texts for Purpose and Audience",221,6.5,"Language: Understand, Edit for Grammar, Usage",206,6.5,"Language: Understand, Edit for Mechanics",218,6.0,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250004,Tanaka,Haruto,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,40,229,3.1,92,0,,,"Writing: Write, Revise Texts for Purpose and Audience",225,5.9,"Language: Understand, Edit for Grammar, Usage",234,6.5,"Language: Understand, Edit for Mechanics",225,6.2,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250012,Yılmaz,Aylin,5,Language Usage,Language Usage,Growth: Language 2-12 CCSS 2010 V2,5/7/2026,44,239,3.0,98,0,,,"Writing: Write, Revise Texts for Purpose and Audience",245,6.3,"Language: Understand, Edit for Grammar, Usage",234,6.5,"Language: Understand, Edit for Mechanics",239,6.1,,,,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250020,Andersson,Nils,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,63,245,3.1,95,0,,1240Q,Operations and Algebraic Thinking,258,7.0,Number and Operations,235,7.0,Measurement and Data,238,6.4,Geometry,249,6.5,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250021,Aziz,Mariam,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,55,214,3.1,46,0,,775Q,Operations and Algebraic Thinking,222,6.6,Number and Operations,223,7.0,Measurement and Data,204,6.7,Geometry,207,6.4,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250013,Boateng,Kwame,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,46,201,3.0,20,0,,580Q,Operations and Algebraic Thinking,200,6.6,Number and Operations,209,6.6,Measurement and Data,196,6.7,Geometry,197,6.8,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250023,Chatterjee,Kavya,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,49,205,3.0,27,0,,640Q,Operations and Algebraic Thinking,210,6.6,Number and Operations,196,6.5,Measurement and Data,210,6.6,Geometry,205,6.7,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250014,Dubois,Chloé,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,41,202,3.2,22,0,,595Q,Operations and Algebraic Thinking,196,6.8,Number and Operations,194,6.2,Measurement and Data,211,6.6,Geometry,206,6.2,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250006,Herrera,Santiago,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,51,232,3.0,81,0,,1045Q,Operations and Algebraic Thinking,231,6.8,Number and Operations,239,6.9,Measurement and Data,225,6.4,Geometry,230,6.5,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250003,Iyer,Priya,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,54,239,3.0,90,0,,1150Q,Operations and Algebraic Thinking,244,7.0,Number and Operations,239,6.6,Measurement and Data,235,7.0,Geometry,241,6.7,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250002,Khoury,Omar,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,52,231,3.2,80,0,,1030Q,Operations and Algebraic Thinking,241,6.8,Number and Operations,215,6.2,Measurement and Data,233,6.3,Geometry,232,7.0,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250001,Mensah,Amara,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,64,254,3.2,98,8,,1375Q,Operations and Algebraic Thinking,249,6.5,Number and Operations,257,6.3,Measurement and Data,260,6.2,Geometry,254,6.9,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250019,Moyo,Tendai,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,71,237,3.2,88,0,,1120Q,Operations and Algebraic Thinking,255,6.6,Number and Operations,241,6.5,Measurement and Data,229,6.7,Geometry,226,6.2,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250008,Müller,Lukas,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,48,233,3.1,83,3,,1060Q,Operations and Algebraic Thinking,228,6.7,Number and Operations,235,6.7,Measurement and Data,230,6.8,Geometry,237,6.3,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250010,Nair,Arjun,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,58,206,3.0,29,0,,655Q,Operations and Algebraic Thinking,210,6.8,Number and Operations,216,6.5,Measurement and Data,194,6.3,Geometry,203,6.9,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250011,Nakamura,Yuna,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,41,210,3.0,37,8,,715Q,Operations and Algebraic Thinking,210,6.9,Number and Operations,205,6.3,Measurement and Data,211,6.2,Geometry,211,6.2,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250009,Nasser,Layla,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,40,233,3.0,83,0,,1060Q,Operations and Algebraic Thinking,231,6.6,Number and Operations,243,6.2,Measurement and Data,225,6.8,Geometry,231,6.3,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250007,Nkosi,Zanele,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,43,235,3.0,85,8,,1090Q,Operations and Algebraic Thinking,233,6.4,Number and Operations,232,6.6,Measurement and Data,230,7.0,Geometry,246,6.8,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250022,O'Donnell,Eoin,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,51,216,3.0,50,4,,805Q,Operations and Algebraic Thinking,218,6.9,Number and Operations,208,6.5,Measurement and Data,216,6.8,Geometry,220,6.7,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250017,Park,Min-jun,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,46,200,3.0,19,4,,565Q,Operations and Algebraic Thinking,191,6.3,Number and Operations,200,6.6,Measurement and Data,207,6.6,Geometry,201,6.3,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250015,Qureshi,Hamza,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,51,230,3.1,78,1,,1015Q,Operations and Algebraic Thinking,236,6.7,Number and Operations,230,6.5,Measurement and Data,224,6.5,Geometry,232,7.0,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250018,Rojas,Valentina,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,66,223,3.1,65,0,,910Q,Operations and Algebraic Thinking,225,6.9,Number and Operations,225,6.6,Measurement and Data,223,6.6,Geometry,219,6.6,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250005,Rossi,Elena,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,45,217,3.0,52,0,,820Q,Operations and Algebraic Thinking,221,6.8,Number and Operations,221,6.2,Measurement and Data,206,6.7,Geometry,221,6.2,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250016,Schmidt,Freya,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,62,222,3.1,63,3,,895Q,Operations and Algebraic Thinking,234,6.8,Number and Operations,221,6.5,Measurement and Data,194,6.6,Geometry,235,6.5,,,
Spring 2025-2026,AISA (sample data),AISA Demo School,Okafor,5A,D250004,Tanaka,Haruto,5,Mathematics,Math K-12,Growth: Math 2-5 CCSS 2010 V2,5/12/2026,50,243,3.1,93,3,,1210Q,Operations and Algebraic Thinking,249,6.5,Number and Operations,248,6.4,Measurement and Data,234,6.2,Geometry,242,6.7,,,
